domain,resolvable,registered
airtel.com,true,false
airtell.com,true,false
airtelx.com,true,false
airtele.com,true,false
airtels.com,true,false
airted.com,true,false
eirtel.com,true,false
akrtel.com,true,false
airpel.com,true,false
ayrtel.com,true,false
cirtel.com,true,false
airtul.com,true,false
airvel.com,true,false
aistel.com,true,false
aartel.com,true,false
airteh.com,true,false
airtem.com,true,false
airten.com,true,false
airtal.com,true,false
airtd.com,true,false
airtci.com,true,false
air-tel.com,true,false
airytel.com,true,false
airetel.com,true,false
asirtel.com,true,false
aitel.com,true,false
airte.com,true,false
irtel.com,true,false
artel.com,true,false
airtl.com,true,false
airel.com,true,false
airstel.com,true,false
airzel.com,true,false
aurtel.com,true,false
zirtel.com,true,false
aortel.com,true,false
wirtel.com,true,false
airtek.com,true,false
airtrl.com,true,false
airfel.com,true,false
aietel.com,true,false
airteo.com,true,false
aittel.com,true,false
sirtel.com,true,false
ai4tel.com,true,false
a.irtel.com,true,false
airt.el.com,true,false
ai.rtel.com,true,false
aritel.com,true,false
airetl.com,true,false
aitrel.com,true,false
airtle.com,true,false
aertel.com,true,false
airtol.com,true,false
oirtel.com,true,false
airtil.com,true,false
