domain,resolvable,registered
airtel.in,true,false
airtel3.in,true,false
airtell.in,true,false
aartel.in,true,false
airten.in,true,false
airdel.in,true,false
airtal.in,true,false
airvel.in,true,false
airttel.in,true,false
airte.in,true,false
airel.in,true,false
artel.in,true,false
irtel.in,true,false
aitel.in,true,false
airtl.in,true,false
airteel.in,true,false
airtrl.in,true,false
sirtel.in,true,false
aortel.in,true,false
airtek.in,true,false
aittel.in,true,false
a.irtel.in,true,false
airtle.in,true,false
aritel.in,true,false
aertel.in,true,false
