domain,resolvable,registered
hdfc.com,true,false
hdfcr.com,true,false
hdfcc.com,true,false
hdfcb.com,true,false
hdfci.com,true,false
hdfcm.com,true,false
hdfc1.com,true,false
hdfcd.com,true,false
hdfcs.com,true,false
hdfc2.com,true,false
hdfca.com,true,false
hdfco.com,true,false
hdfa.com,true,false
xdfc.com,true,false
hdfs.com,true,false
ldfc.com,true,false
hdfg.com,true,false
hdnc.com,true,false
hlfc.com,true,false
hdgc.com,true,false
hdvc.com,true,false
hdfb.com,true,false
hffc.com,true,false
htfc.com,true,false
hdbc.com,true,false
hddc.com,true,false
hdfk.com,true,false
hefc.com,true,false
hcifc.com,true,false
hdifc.com,true,false
lhdfc.com,true,false
hbfc.com,true,false
helfc.com,true,false
hdlfc.com,true,false
ihdfc.com,true,false
hbfe.com,true,false
hdfe.com,true,false
lhbfc.com,true,false
hdfgc.com,true,false
hsdfc.com,true,false
hdxfc.com,true,false
hdftc.com,true,false
hjdfc.com,true,false
zhdfc.com,true,false
uhdfc.com,true,false
hndfc.com,true,false
hudfc.com,true,false
hydfc.com,true,false
nhdfc.com,true,false
hdffc.com,true,false
hfc.com,true,false
dfc.com,true,false
hdc.com,true,false
hdf.com,true,false
hhdfc.com,true,false
hdrc.com,true,false
hdfx.com,true,false
ydfc.com,true,false
udfc.com,true,false
hdff.com,true,false
hxfc.com,true,false
hsfc.com,true,false
bdfc.com,true,false
hdtc.com,true,false
hrfc.com,true,false
hdcc.com,true,false
gdfc.com,true,false
hcfc.com,true,false
hdfd.com,true,false
hdfv.com,true,false
ndfc.com,true,false
dhfc.com,true,false
hdcf.com,true,false
hfdc.com,true,false
