domain,resolvable,registered
hdfcbank.com,true,false
hdfcbankk.com,true,false
hdfcbankj.com,true,false
hdfcbankl.com,true,false
hdfcbanks.com,true,false
hdfcbankc.com,true,false
idfcbank.com,true,false
hdfcbanj.com,true,false
hefcbank.com,true,false
hffcbank.com,true,false
hdbcbank.com,true,false
hdfsbank.com,true,false
hdgcbank.com,true,false
hddcbank.com,true,false
hdfcbano.com,true,false
hdfcbqnk.com,true,false
jdfcbank.com,true,false
hdfcbannk.com,true,false
hdfcbamk.com,true,false
xn--hdfbank-45a.com,true,false
xn--hdfbank-wxa.com,true,false
hdfdbank.com,true,false
hdfebank.com,true,false
hdfc-bank.com,true,false
hddfcbank.com,true,false
hdffcbank.com,true,false
yhdfcbank.com,true,false
hdfcbasnk.com,true,false
hdfccbank.com,true,false
hdcfcbank.com,true,false
hdfcbamnk.com,true,false
hdfcbanjk.com,true,false
hdfcbanmk.com,true,false
hdfcbsank.com,true,false
hdfcnbank.com,true,false
hdfvcbank.com,true,false
hdfxcbank.com,true,false
hdgfcbank.com,true,false
hfdfcbank.com,true,false
jhdfcbank.com,true,false
hdfbank.com,true,false
hdcbank.com,true,false
dfcbank.com,true,false
hdfcban.com,true,false
hdfcbak.com,true,false
hdfcbnk.com,true,false
hdfcank.com,true,false
hdfcsbank.com,true,false
hhdfcbank.com,true,false
hdfcbbank.com,true,false
hdfcbaank.com,true,false
gdfcbank.com,true,false
hdfxbank.com,true,false
hsfcbank.com,true,false
hdfcbsnk.com,true,false
hdfcbabk.com,true,false
hdfcbanl.com,true,false
hdfcnank.com,true,false
hdrcbank.com,true,false
hdtcbank.com,true,false
bdfcbank.com,true,false
hdccbank.com,true,false
hdfcvank.com,true,false
hdfvbank.com,true,false
h.dfcbank.com,true,false
hd.fcbank.com,true,false
hdf.cbank.com,true,false
hdfcabnk.com,true,false
hfdcbank.com,true,false
hdcfbank.com,true,false
hdfcbnak.com,true,false
dhfcbank.com,true,false
hdfbcank.com,true,false
hdfcbakn.com,true,false
