domain,resolvable,registered
icicibank.com,true,false
icicibank2.com,true,false
icicibankj.com,true,false
icicibankl.com,true,false
icicibankm.com,true,false
icicibanko.com,true,false
icicibankk.com,true,false
icicibanks.com,true,false
acicibank.com,true,false
icicibenk.com,true,false
icicibink.com,true,false
icicibano.com,true,false
icicibqnk.com,true,false
icickbank.com,true,false
kcicibank.com,true,false
icicibanj.com,true,false
icicibamk.com,true,false
icicibannk.com,true,false
xn--iccibank-31a.com,true,false
xn--icicibnk-sx0d.com,true,false
1c1cibank.com,true,false
1cic1bank.com,true,false
1cicibank.com,true,false
1ciclbank.com,true,false
1clcibank.com,true,false
ic1c1bank.com,true,false
ic1cibank.com,true,false
ic1clbank.com,true,false
icic1bank.com,true,false
iciclbank.com,true,false
iclc1bank.com,true,false
iclcibank.com,true,false
iclclbank.com,true,false
icici-bank.com,true,false
icifcibank.com,true,false
icicfibank.com,true,false
icicibabnk.com,true,false
icicibamnk.com,true,false
icicibanbk.com,true,false
icicibanmk.com,true,false
icicibasnk.com,true,false
8icicibank.com,true,false
9icicibank.com,true,false
icdicibank.com,true,false
icicdibank.com,true,false
icicibanjk.com,true,false
icicihbank.com,true,false
iciciobank.com,true,false
icicivbank.com,true,false
icoicibank.com,true,false
iocicibank.com,true,false
jicicibank.com,true,false
kicicibank.com,true,false
uicicibank.com,true,false
cicibank.com,true,false
icicibak.com,true,false
iciibank.com,true,false
iicibank.com,true,false
iccibank.com,true,false
iciciank.com,true,false
icicibnk.com,true,false
icicbank.com,true,false
iciciban.com,true,false
iciicibank.com,true,false
iciccibank.com,true,false
iccicibank.com,true,false
icicibaank.com,true,false
icicibbank.com,true,false
iicicibank.com,true,false
icicobank.com,true,false
icivibank.com,true,false
icicibabk.com,true,false
icicibanl.com,true,false
icicubank.com,true,false
icixibank.com,true,false
icocibank.com,true,false
ivicibank.com,true,false
ocicibank.com,true,false
8cicibank.com,true,false
icicivank.com,true,false
icidibank.com,true,false
icucibank.com,true,false
idicibank.com,true,false
ificibank.com,true,false
ixicibank.com,true,false
jcicibank.com,true,false
ucicibank.com,true,false
icicibsnk.com,true,false
icicinank.com,true,false
icicibahk.com,true,false
i.cicibank.com,true,false
ic.icibank.com,true,false
iciicbank.com,true,false
ciicibank.com,true,false
icciibank.com,true,false
icicbiank.com,true,false
iciciabnk.com,true,false
iiccibank.com,true,false
icicibakn.com,true,false
icicibnak.com,true,false
icicebank.com,true,false
icicibonk.com,true,false
icicibunk.com,true,false
