domain,resolvable,registered
icicidirect.com,true,false
icici-direct.com,true,false
icicicdirect.com,true,false
iccidirect.com,true,false
icicidiect.com,true,false
icicdirect.com,true,false
icicidirct.com,true,false
icicidirec.com,true,false
icicidrect.com,true,false
cicidirect.com,true,false
iciicidirect.com,true,false
iciciidirect.com,true,false
iciciditect.com,true,false
icicidorect.com,true,false
icicidurect.com,true,false
i.cicidirect.com,true,false
icicid.irect.com,true,false
ic.icidirect.com,true,false
ici.cidirect.com,true,false
icicidriect.com,true,false
icicidierct.com,true,false
