domain,resolvable,registered
iciciprulife.com,true,false
iciciprulifes.com,true,false
icicitrulife.com,true,false
iciciprulive.com,true,false
icicipru-life.com,true,false
icciprulife.com,true,false
icicprulife.com,true,false
iciciprulif.com,true,false
ciciprulife.com,true,false
iciciprulufe.com,true,false
iciciprilife.com,true,false
iciciorulife.com,true,false
ic.iciprulife.com,true,false
icicip.rulife.com,true,false
icic.iprulife.com,true,false
i.ciciprulife.com,true,false
icicipurlife.com,true,false
