domain,resolvable,registered
irctc.com,true,false
irctct.com,true,false
irctcs.com,true,false
irbtc.com,true,false
ircta.com,true,false
hrctc.com,true,false
ircvc.com,true,false
arctc.com,true,false
ibctc.com,true,false
ircdc.com,true,false
iratc.com,true,false
mrctc.com,true,false
ircts.com,true,false
isctc.com,true,false
ircte.com,true,false
iretc.com,true,false
irete.com,true,false
lrctc.com,true,false
ir-ctc.com,true,false
irtctc.com,true,false
ircc.com,true,false
irtc.com,true,false
rctc.com,true,false
ictc.com,true,false
irct.com,true,false
ircrc.com,true,false
irvtc.com,true,false
ifctc.com,true,false
ircgc.com,true,false
irctv.com,true,false
orctc.com,true,false
irctx.com,true,false
irdtc.com,true,false
itctc.com,true,false
icrtc.com,true,false
rictc.com,true,false
irtcc.com,true,false
erctc.com,true,false
