domain,resolvable,registered
sbi.co.in,true,false
sbin.co.in,true,false
sbil.co.in,true,false
sbic.co.in,true,false
sbit.co.in,true,false
sba.co.in,true,false
sci.co.in,true,false
rbi.co.in,true,false
wbi.co.in,true,false
sri.co.in,true,false
sfi.co.in,true,false
cbi.co.in,true,false
sbh.co.in,true,false
sby.co.in,true,false
sbl.co.in,true,false
scli.co.in,true,false
sdl.co.in,true,false
slbi.co.in,true,false
sibi.co.in,true,false
sdi.co.in,true,false
s-bi.co.in,true,false
sbgi.co.in,true,false
asbi.co.in,true,false
sdbi.co.in,true,false
sgbi.co.in,true,false
shbi.co.in,true,false
snbi.co.in,true,false
svbi.co.in,true,false
sbbi.co.in,true,false
ssbi.co.in,true,false
abi.co.in,true,false
sni.co.in,true,false
dbi.co.in,true,false
shi.co.in,true,false
ybi.co.in,true,false
svi.co.in,true,false
sbo.co.in,true,false
sbu.co.in,true,false
xbi.co.in,true,false
zbi.co.in,true,false
sib.co.in,true,false
bsi.co.in,true,false
sbi.in,true,false
sbe.co.in,true,false
