domain,resolvable,registered
sbicard.com,true,false
sbicards.com,true,false
sbicare.com,true,false
sbicarf.com,true,false
sbacard.com,true,false
sricard.com,true,false
sbmcard.com,true,false
scicard.com,true,false
sblcard.com,true,false
sdicard.com,true,false
sbicrd.com,true,false
bicard.com,true,false
sbcard.com,true,false
sbicar.com,true,false
sicard.com,true,false
sbiard.com,true,false
sbbicard.com,true,false
sbicaard.com,true,false
sbicarrd.com,true,false
sbiccard.com,true,false
sbiicard.com,true,false
abicard.com,true,false
sbicaed.com,true,false
sbicatd.com,true,false
sbicsrd.com,true,false
sbivard.com,true,false
ebicard.com,true,false
shicard.com,true,false
s.bicard.com,true,false
bsicard.com,true,false
sibcard.com,true,false
sbicrad.com,true,false
